department,quarter,class_name,professor_name,section,professor_rating,professor_difficulty,professor_num_ratings
Biomolecular Engineering,Fall24,BME185,Dianne G Hendricks,Section 01,2.1,3.4,8
Biomolecular Engineering,Winter25,BME185,Dianne G Hendricks,Section 01,2.1,3.4,8
Biomolecular Engineering,Spring25,BME185,Dianne G Hendricks,Section 01,2.1,3.4,8
Biomolecular Engineering,Spring25,BME188A,David L Bernick,Section 01,4.9,2.8,20
Biomolecular Engineering,Winter25,BME201,Joshua M Stuart,Section 01,2.8,4.1,12
Biomolecular Engineering,Fall24,BME205,Russ Corbett-Detig,Section 01,1.8,3.5,2
Biomolecular Engineering,Spring25,BME218,David Haussler,Section 01,4.9,2.8,20
Biomolecular Engineering,Winter25,BME230A,Vanessa D Jonsson,Section 01,3.6,3.6,102
Biomolecular Engineering,Fall24,BME232,Shelbi L Russell,Section 01,3.7,3.1,203
Biomolecular Engineering,Spring25,BME263,Chris Vollmers,Section 01,4.3,2.5,72
Biomolecular Engineering,Spring25,BME272,Daniel H. Kim,Section 01,3,3.3,155
Biomolecular Engineering,Winter25,BME275,Ed Green,Section 01,3.3,2.8,63
Biomolecular Engineering,Winter25,BME278,Daniel H. Kim,Section 01,3,3.3,155
Biomolecular Engineering,Fall24,BME280B,Nader Pourmand,Section 01,3.4,3,204
Biomolecular Engineering,Winter25,BME280B,Daniel H. Kim,Section 01,3,3.3,155
Biomolecular Engineering,Spring25,BME280B,Angela Brooks,Section 01,4,2.9,13
Biomolecular Engineering,Fall24,BME281D,Rebecca DuBois,Section 01,4.6,3.2,19
Biomolecular Engineering,Winter25,BME281D,Rebecca DuBois,Section 01,4.6,3.2,19
Biomolecular Engineering,Spring25,BME281D,Rebecca DuBois,Section 01,4.6,3.2,19
Biomolecular Engineering,Fall24,BME281E,Ed Green,Section 01,3.3,2.8,63
Biomolecular Engineering,Winter25,BME281E,Ed Green,Section 01,3.3,2.8,63
Biomolecular Engineering,Spring25,BME281E,Ed Green,Section 01,3.3,2.8,63
Biomolecular Engineering,Fall24,BME281F,Camilla E Forsberg,Section 01,4.9,2,29
Biomolecular Engineering,Winter25,BME281F,Camilla E Forsberg,Section 01,4.9,2,29
Biomolecular Engineering,Spring25,BME281F,Camilla E Forsberg,Section 01,4.9,2,29
Biomolecular Engineering,Spring25,BME281G,Ali Shariati,Section 01,4.1,3.1,11
Biomolecular Engineering,Fall24,BME281H,David Haussler,Section 01,4.9,2.8,20
Biomolecular Engineering,Winter25,BME281H,David Haussler,Section 01,4.9,2.8,20
Biomolecular Engineering,Spring25,BME281H,David Haussler,Section 01,4.9,2.8,20
Biomolecular Engineering,Fall24,BME281J,Benedict John Paten,Section 01,4.2,3.1,119
Biomolecular Engineering,Winter25,BME281J,Benedict John Paten,Section 01,4.2,3.1,119
Biomolecular Engineering,Spring25,BME281J,Benedict John Paten,Section 01,4.2,3.1,119
Biomolecular Engineering,Fall24,BME281L,Todd M Lowe,Section 01,3.4,3,22
Biomolecular Engineering,Winter25,BME281L,Todd M Lowe,Section 01,3.4,3,22
Biomolecular Engineering,Spring25,BME281L,Todd M Lowe,Section 01,3.4,3,22
Biomolecular Engineering,Fall24,BME281M,Karen Miga,Section 01,4.5,3.7,78
Biomolecular Engineering,Winter25,BME281M,Karen Miga,Section 01,4.5,3.7,78
Biomolecular Engineering,Spring25,BME281M,Karen Miga,Section 01,4.5,3.7,78
Biomolecular Engineering,Fall24,BME281N,Angela Brooks,Section 01,4,2.9,13
Biomolecular Engineering,Winter25,BME281N,Angela Brooks,Section 01,4,2.9,13
Biomolecular Engineering,Spring25,BME281N,Angela Brooks,Section 01,4,2.9,13
Biomolecular Engineering,Fall24,BME281P,Nader Pourmand,Section 01,3.4,3,204
Biomolecular Engineering,Winter25,BME281P,Nader Pourmand,Section 01,3.4,3,204
Biomolecular Engineering,Spring25,BME281P,Nader Pourmand,Section 01,3.4,3,204
Biomolecular Engineering,Fall24,BME281R,Daniel H. Kim,Section 01,3,3.3,155
Biomolecular Engineering,Winter25,BME281R,Daniel H. Kim,Section 01,3,3.3,155
Biomolecular Engineering,Spring25,BME281R,Daniel H. Kim,Section 01,3,3.3,155
Biomolecular Engineering,Fall24,BME281T,Tal Sharf,Section 01,4.3,2.5,19
Biomolecular Engineering,Fall24,BME281V,Chris Vollmers,Section 01,4.3,2.5,72
Biomolecular Engineering,Winter25,BME281V,Chris Vollmers,Section 01,4.3,2.5,72
Biomolecular Engineering,Spring25,BME281V,Chris Vollmers,Section 01,4.3,2.5,72
Biomolecular Engineering,Fall24,BME281X,Shelbi L Russell,Section 01,3.7,3.1,203
Biomolecular Engineering,Winter25,BME281X,Shelbi L Russell,Section 01,3.7,3.1,203
Biomolecular Engineering,Spring25,BME281X,Shelbi L Russell,Section 01,3.7,3.1,203
Biomolecular Engineering,Spring25,BME281Y,Andy H.W. Yeh,Section 01,4.9,2.7,53
Biomolecular Engineering,Fall24,BME281Z,Russ Corbett-Detig,Section 01,1.8,3.5,2
Biomolecular Engineering,Winter25,BME281Z,Russ Corbett-Detig,Section 01,1.8,3.5,2
Biomolecular Engineering,Spring25,BME281Z,Russ Corbett-Detig,Section 01,1.8,3.5,2
Computational Media,Fall24,CMPM15,David Manuel Torres-Mendoza,Section 01,4.9,2.8,20
Computational Media,Winter25,CMPM15,David Manuel Torres-Mendoza,Section 01,4.9,2.8,20
Computational Media,Spring25,CMPM15,David Manuel Torres-Mendoza,Section 01,4.9,2.8,20
Computational Media,Fall24,CMPM17,Tela Favaloro,Section 01,4.6,2.6,11
Computational Media,Fall24,CMPM17,Tela Favaloro,Section 02,4.6,2.6,11
Computational Media,Fall24,CMPM17,Tela Favaloro,Section 03,4.6,2.6,11
Computational Media,Fall24,CMPM17,Tela Favaloro,Section 04,4.6,2.6,11
Computational Media,Winter25,CMPM17,Tela Favaloro,Section 01,4.6,2.6,11
Computational Media,Winter25,CMPM17,Tela Favaloro,Section 02,4.6,2.6,11
Computational Media,Winter25,CMPM17,Tela Favaloro,Section 03,4.6,2.6,11
Computational Media,Fall24,CMPM25,Chris Yonge,Section 01,4.3,2.5,72
Computational Media,Winter25,CMPM26,Chris Yonge,Section 01,4.3,2.5,72
Computational Media,Spring25,CMPM27,Chris Yonge,Section 01,4.3,2.5,72
Computational Media,Fall24,CMPM80J,Samantha Gorman,Section 01,4.6,2.8,43
Computational Media,Winter25,CMPM80J,Nathan Altice,Section 01,2.5,3.3,103
Computational Media,Spring25,CMPM80J,Nathan Altice,Section 01,2.5,3.3,103
Computational Media,Fall24,CMPM80K,Noah G Wardrip-Fruin,Section 01,2.9,2.2,25
Computational Media,Winter25,CMPM80K,Kate Ringland,Section 01,2.5,3.6,161
Computational Media,Spring25,CMPM80K,Noah G Wardrip-Fruin,Section 01,2.9,2.2,25
Computational Media,Winter25,CMPM110,Noah G Wardrip-Fruin,Section 01,2.9,2.2,25
Computational Media,Fall24,CMPM115,Tela Favaloro,Section 01,4.6,2.6,11
Computational Media,Spring25,CMPM115,Tela Favaloro,Section 01,4.6,2.6,11
Computational Media,Fall24,CMPM118,David Lee,Section 01,4.9,2.8,20
Computational Media,Fall24,CMPM118,Kate Ringland,Section 02,2.5,3.6,161
Computational Media,Fall24,CMPM118,Jason Eshraghian,Section 03,2.8,2.8,18
Computational Media,Fall24,CMPM118,Leilani H Gilpin,Section 05,4.3,1.8,4
Computational Media,Winter25,CMPM118,David Lee,Section 01,4.9,2.8,20
Computational Media,Winter25,CMPM118,Kate Ringland,Section 02,2.5,3.6,161
Computational Media,Winter25,CMPM118,Jason Eshraghian,Section 03,2.8,2.8,18
Computational Media,Winter25,CMPM118,Emmet James Whitehead,Section 04,3.9,2.7,93
Computational Media,Spring25,CMPM118,David Lee,Section 01,4.9,2.8,20
Computational Media,Spring25,CMPM118,Kate Ringland,Section 02,2.5,3.6,161
Computational Media,Spring25,CMPM118,Jason Eshraghian,Section 03,2.8,2.8,18
Computational Media,Winter25,CMPM120,Nathan Altice,Section 01,2.5,3.3,103
Computational Media,Spring25,CMPM120,Jim Whitehead,Section 01,3.8,2.3,30
Computational Media,Fall24,CMPM121,Adam M. Smith,Section 01,3.4,3.6,8
Computational Media,Spring25,CMPM121,Markus Eger,Section 01,2,4.1,76
Computational Media,Spring25,CMPM121,Zac Emerzian,Section 02,3.4,2.9,27
Computational Media,Fall24,CMPM122,Joel Dreskin,Section 01,4.3,3.3,24
Computational Media,Fall24,CMPM123,Graeme J Devine,Section 01,4.3,2.5,57
Computational Media,Fall24,CMPM125,Tyler Coleman,Section 01,4.8,1.9,27
Computational Media,Winter25,CMPM130,Katherine C Isbister,Section 01,1.8,4,53
Computational Media,Winter25,CMPM146,Daniel G Shapiro,Section 01,3,3.3,155
Computational Media,Spring25,CMPM146,Markus Eger,Section 01,2,4.1,76
Computational Media,Spring25,CMPM147,Wes Modes,Section 01,3,4,98
Computational Media,Spring25,CMPM148,Michael J Mateas,Section 01,4.3,2.5,57
Computational Media,Winter25,CMPM150,Adam Sporka,Section 01,3.4,3.6,8
Computational Media,Spring25,CMPM150,Brian M Hansen,Section 01,3,3.4,106
Computational Media,Winter25,CMPM169,Wes Modes,Section 01,3,4,98
Computational Media,Fall24,CMPM170,Samantha Gorman,Section 01,4.6,2.8,43
Computational Media,Fall24,CMPM170,rjhangia,Section 02,3,3,0
Computational Media,Fall24,CMPM170,Markus Eger,Section 03,2,4.1,76
Computational Media,Spring25,CMPM170,Graeme J Devine,Section 02,4.3,2.5,57
Computational Media,Winter25,CMPM171,Tyler Coleman,Section 01,4.8,1.9,27
Computational Media,Winter25,CMPM171,Tyler Coleman,Section 02,4.8,1.9,27
Computational Media,Winter25,CMPM171,Markus Eger,Section 03,2,4.1,76
Computational Media,Spring25,CMPM172,Tyler Coleman,Section 01,4.8,1.9,27
Computational Media,Spring25,CMPM172,Tyler Coleman,Section 02,4.8,1.9,27
Computational Media,Fall24,CMPM176,Jared N Pettitt,Section 01,4.5,1.9,11
Computational Media,Fall24,CMPM179,Wes Modes,Section 01,3,4,98
Computational Media,Winter25,CMPM180,Samantha Gorman,Section 01,4.6,2.8,43
Computational Media,Spring25,CMPM180,Samantha Gorman,Section 01,4.6,2.8,43
Computational Media,Fall24,CMPM201,Elin Carstensdottir,Section 01,4.5,1.9,38
Computational Media,Fall24,CMPM201,Elin Carstensdottir,Section 50,4.5,1.9,38
Computational Media,Winter25,CMPM202,Adam M. Smith,Section 01,3.4,3.6,8
Computational Media,Winter25,CMPM202,Adam M. Smith,Section 50,3.4,3.6,8
Computational Media,Spring25,CMPM203,Kate Ringland,Section 01,2.5,3.6,161
Computational Media,Spring25,CMPM203,Kate Ringland,Section 50,2.5,3.6,161
Computational Media,Winter25,CMPM206,Sri Hastuti Kurniawan,Section 01,2.5,3.4,34
Computational Media,Winter25,CMPM206,Sri Hastuti Kurniawan,Section 50,2.5,3.4,34
Computational Media,Spring25,CMPM206,Sri Hastuti Kurniawan,Section 01,2.5,3.4,34
Computational Media,Spring25,CMPM206,Sri Hastuti Kurniawan,Section 50,2.5,3.4,34
Computational Media,Winter25,CMPM230,Mahnaz Roshanaei,Section 01,2.3,3.1,27
Computational Media,Winter25,CMPM237,Elin Carstensdottir,Section 01,4.5,1.9,38
Computational Media,Winter25,CMPM237,Elin Carstensdottir,Section 50,4.5,1.9,38
Computational Media,Fall24,CMPM243,David Lee,Section 01,4.9,2.8,20
Computational Media,Fall24,CMPM243,David Lee,Section 50,4.9,2.8,20
Computational Media,Winter25,CMPM248,Michael J Mateas,Section 01,4.3,2.5,57
Computational Media,Winter25,CMPM248,Michael J Mateas,Section 50,4.3,2.5,57
Computational Media,Fall24,CMPM280G,Jim Whitehead,Section 01,3.8,2.3,30
Computational Media,Winter25,CMPM280G,Jim Whitehead,Section 01,3.8,2.3,30
Computational Media,Spring25,CMPM280G,Jim Whitehead,Section 01,3.8,2.3,30
Computational Media,Fall24,CMPM280H,Katherine C Isbister,Section 01,1.8,4,53
Computational Media,Winter25,CMPM280H,Katherine C Isbister,Section 01,1.8,4,53
Computational Media,Spring25,CMPM280H,Katherine C Isbister,Section 01,1.8,4,53
Computational Media,Fall24,CMPM280K,Sri Hastuti Kurniawan,Section 01,2.5,3.4,34
Computational Media,Winter25,CMPM280K,Sri Hastuti Kurniawan,Section 01,2.5,3.4,34
Computational Media,Spring25,CMPM280K,Sri Hastuti Kurniawan,Section 01,2.5,3.4,34
Computational Media,Fall24,CMPM280P,Magy Seif El-Nasr,Section 01,4.7,3.1,100
Computational Media,Winter25,CMPM280P,Magy Seif El-Nasr,Section 01,4.7,3.1,100
Computational Media,Spring25,CMPM280P,Magy Seif El-Nasr,Section 01,4.7,3.1,100
Computational Media,Fall24,CMPM280S,David Lee,Section 01,4.9,2.8,20
Computational Media,Winter25,CMPM280S,David Lee,Section 01,4.9,2.8,20
Computational Media,Spring25,CMPM280S,David Lee,Section 01,4.9,2.8,20
Computational Media,Fall24,CMPM280W,Nathan Altice,Section 01,2.5,3.3,103
Computational Media,Winter25,CMPM280W,Nathan Altice,Section 01,2.5,3.3,103
Computational Media,Spring25,CMPM280W,Nathan Altice,Section 01,2.5,3.3,103
Computational Media,Fall24,CMPM280X,Noah G Wardrip-Fruin,Section 01,2.9,2.2,25
Computational Media,Winter25,CMPM280X,Noah G Wardrip-Fruin,Section 01,2.9,2.2,25
Computational Media,Spring25,CMPM280X,Noah G Wardrip-Fruin,Section 01,2.9,2.2,25
Computational Media,Winter25,CMPM290A,Samantha Gorman,Section 01,4.6,2.8,43
Computational Media,Winter25,CMPM290A,Samantha Gorman,Section 50,4.6,2.8,43
Computational Media,Spring25,CMPM290A,Adam M. Smith,Section 01,3.4,3.6,8
Computational Media,Spring25,CMPM290A,Adam M. Smith,Section 50,3.4,3.6,8
Computational Media,Spring25,CMPM290K,Katherine C Isbister,Section 01,1.8,4,53
Computational Media,Spring25,CMPM290K,Katherine C Isbister,Section 50,1.8,4,53
Computer Science and Engineering,Fall24,CSE3,Gerald B Moulds,Section 01,3.3,3.7,3
Computer Science and Engineering,Winter25,CSE3,Gerald B Moulds,Section 01,3.3,3.7,3
Computer Science and Engineering,Spring25,CSE3,Gerald B Moulds,Section 01,3.3,3.7,3
Computer Science and Engineering,Fall24,CSE12,Sagnik Nath,Section 01,2.5,3.3,103
Computer Science and Engineering,Fall24,CSE12,Marcelo Siero,Section 02,4.2,3.8,95
Computer Science and Engineering,Winter25,CSE12,Sagnik Nath,Section 01,2.5,3.3,103
Computer Science and Engineering,Winter25,CSE12,Marcelo Siero,Section 02,4.2,3.8,95
Computer Science and Engineering,Spring25,CSE12,Sagnik Nath,Section 01,2.5,3.3,103
Computer Science and Engineering,Spring25,CSE12,Marcelo Siero,Section 02,4.2,3.8,95
Computer Science and Engineering,Fall24,CSE13S,Kerry Veenstra,Section 01,3.4,3.1,86
Computer Science and Engineering,Fall24,CSE13S,Alex Rudnick,Section 02,4.3,2.4,63
Computer Science and Engineering,Winter25,CSE13S,Kerry Veenstra,Section 01,3.4,3.1,86
Computer Science and Engineering,Winter25,CSE13S,Alex Rudnick,Section 02,4.3,2.4,63
Computer Science and Engineering,Spring25,CSE13S,Kerry Veenstra,Section 01,3.4,3.1,86
Computer Science and Engineering,Spring25,CSE13S,Alex Rudnick,Section 02,4.3,2.4,63
Computer Science and Engineering,Spring25,CSE13S,Kriti Bhargava,Section 03,3.4,4.6,16
Computer Science and Engineering,Fall24,CSE16,John T Musacchio,Section 01,4.2,3.1,119
Computer Science and Engineering,Fall24,CSE16,Alexandra Kolla,Section 03,2.8,3.4,32
Computer Science and Engineering,Winter25,CSE16,Kyle A Miller,Section 01,2.2,3.7,47
Computer Science and Engineering,Winter25,CSE16,Allen Van Gelder,Section 02,4.1,3.3,248
Computer Science and Engineering,Spring25,CSE16,Patrick Tantalo,Section 01,4.6,3.4,43
